id,category,difficulty,points,question,answer,acceptableAnswers,sourceNote
WV_001,Wordplay & Vocabulary,easy,100,This term means a word with a similar meaning.,synonym,synonym,Dictionary/grammar reference
WV_002,Wordplay & Vocabulary,easy-medium,200,This term means a word with the opposite meaning.,antonym,antonym,Dictionary/grammar reference
WV_003,Wordplay & Vocabulary,medium,300,This term means a word that sounds like another word.,homophone,homophone,Dictionary/grammar reference
WV_004,Wordplay & Vocabulary,medium-hard,400,This term means a word part added to the beginning.,prefix,prefix,Dictionary/grammar reference
WV_005,Wordplay & Vocabulary,hard,500,This term means a word part added to the end.,suffix,suffix,Dictionary/grammar reference
WV_006,Wordplay & Vocabulary,easy,100,This term means the basic word part carrying meaning.,root word,root word,Dictionary/grammar reference
WV_007,Wordplay & Vocabulary,easy-medium,200,"This term means a person, place, thing, or idea.",noun,noun,Dictionary/grammar reference
WV_008,Wordplay & Vocabulary,medium,300,This term means an action or state-of-being word.,verb,verb,Dictionary/grammar reference
WV_009,Wordplay & Vocabulary,medium-hard,400,This term means a word that describes a noun.,adjective,adjective,Dictionary/grammar reference
WV_010,Wordplay & Vocabulary,hard,500,"This term means a word that modifies a verb, adjective, or another adverb.",adverb,adverb,Dictionary/grammar reference
WV_011,Wordplay & Vocabulary,easy,100,This term means a word that replaces a noun.,pronoun,pronoun,Dictionary/grammar reference
WV_012,Wordplay & Vocabulary,easy-medium,200,"This term means a word showing relationship such as in, on, or under.",preposition,preposition,Dictionary/grammar reference
WV_013,Wordplay & Vocabulary,medium,300,This term means a word that connects words or clauses.,conjunction,conjunction,Dictionary/grammar reference
WV_014,Wordplay & Vocabulary,medium-hard,400,This term means a short exclamation such as wow.,interjection,interjection,Dictionary/grammar reference
WV_015,Wordplay & Vocabulary,hard,500,This term means repetition of beginning sounds.,alliteration,alliteration,Dictionary/grammar reference
WV_016,Wordplay & Vocabulary,easy,100,This term means matching ending sounds.,rhyme,rhyme,Dictionary/grammar reference
WV_017,Wordplay & Vocabulary,easy-medium,200,This term means a comparison that says one thing is another.,metaphor,metaphor,Dictionary/grammar reference
WV_018,Wordplay & Vocabulary,medium,300,This term means a comparison using like or as.,simile,simile,Dictionary/grammar reference
WV_019,Wordplay & Vocabulary,medium-hard,400,This term means a phrase whose meaning is not literal.,idiom,idiom,Dictionary/grammar reference
WV_020,Wordplay & Vocabulary,hard,500,This term means intentional exaggeration.,hyperbole,hyperbole,Dictionary/grammar reference
WV_021,Wordplay & Vocabulary,easy,100,This term means a word that imitates a sound.,onomatopoeia,onomatopoeia,Dictionary/grammar reference
WV_022,Wordplay & Vocabulary,easy-medium,200,This term means a word or phrase that reads the same backward.,palindrome,palindrome,Dictionary/grammar reference
WV_023,Wordplay & Vocabulary,medium,300,This term means a word formed from initials.,acronym,acronym,Dictionary/grammar reference
WV_024,Wordplay & Vocabulary,medium-hard,400,This term means a shortened form of a word or phrase.,abbreviation,abbreviation,Dictionary/grammar reference
WV_025,Wordplay & Vocabulary,hard,500,This term means a word made from two smaller words.,compound word,compound word,Dictionary/grammar reference
WV_026,Wordplay & Vocabulary,easy,100,The opposite of ancient.,modern,modern,Dictionary reference
WV_027,Wordplay & Vocabulary,easy-medium,200,The opposite of generous.,stingy,stingy,Dictionary reference
WV_028,Wordplay & Vocabulary,medium,300,The opposite of fragile.,durable,durable,Dictionary reference
WV_029,Wordplay & Vocabulary,medium-hard,400,The opposite of expand.,contract,contract,Dictionary reference
